id,title,location,experience,skills,company,salary,description,posted_date,type,url
100818007944,"Openings for HR Business Partner @ Hyderabad,",Hyderabad,4-6 yrs,"recruitment, business partnering, selection process, employee orientation...",Technosoft Global Services Pvt Ltd,  Not disclosed ,Experience Range: 4 to 6 Year*;Role Summary and Required Skills: ...,11 days ago,premium,https://www.naukri.com/job-listings-Openings-for-HR-Business-Partner-Hyderabad-Technosoft-Global-Services-Pvt-Ltd-Hyderabad-4-to-6-years-100818007944?src=jobsearchDesk&sid=15382133049957&xp=5&px=44
070618002331,Requirement for Record Information Management @ Bangalore,Bengaluru,1-4 yrs,"clinical research, icf, ich - gcp, crc, ich, gcp, site monitoring...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,4 days ago,prefjob,https://www.naukri.com/job-listings-Requirement-for-Record-Information-Management-Bangalore-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-1-to-4-years-070618002331?src=jobsearchDesk&sid=15382133049957&xp=6&px=44
070618001133,Immediate Openings for Clinical Process Associate @ Mumbai,Mumbai,2-4 yrs,"clinical research, icf, ich - gcp, crc, ich, gcp, site monitoring...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,11 days ago,prefjob,https://www.naukri.com/job-listings-Immediate-Openings-for-Clinical-Process-Associate-Mumbai-Technosoft-Global-Services-Pvt-Ltd-Mumbai-2-to-4-years-070618001133?src=jobsearchDesk&sid=15382133049957&xp=7&px=44
290618600447,Game Designer for an E - Learning Company,Mumbai,5-10 yrs,"UI / UX, Wireframe, Prototype, Datascience, Unity 3D, C#, Userflow, Gaming,...",Adept Global,  Not disclosed ,,59 days ago,crawled,https://www.naukri.com/job-listings-Game-Designer-for-an-E-Learning-Company-Adept-Global-Mumbai-5-to-10-years-290618600447?src=jobsearchDesk&sid=15382133049957&xp=8&px=44
280718600642,Hiring for Data Scientist- Mumbai.,Mumbai,6-8 yrs,"hiring, data science, business solutions, statistical analysis...",Career Catalysts HRC Pvt. Ltd.,  Not disclosed ,,59 days ago,crawled,https://www.naukri.com/job-listings-Hiring-for-Data-Scientist-Mumbai-Career-Catalysts-HRC-Pvt-Ltd-Mumbai-6-to-8-years-280718600642?src=jobsearchDesk&sid=15382133049957&xp=9&px=44
270718600045,Data Scientist,"Pune, Dubai/ UAE",6-11 yrs,"SAS, R, Data Science, NLP, Neural Networks, Data Analytics...",Gfi Informatique India Pvt Ltd,  Not disclosed ,,59 days ago,crawled,https://www.naukri.com/job-listings-Data-Scientist-Gfi-Informatique-India-Pvt-Ltd-Pune-Dubai-UAE-6-to-11-years-270718600045?src=jobsearchDesk&sid=15382133049957&xp=10&px=44
240718600492,Lead Data Governance- Mumbai,Mumbai,10-14 yrs,"Data Governance, Business Strategy, Business System, Data Integrity...",Margdarshak Consultants Pvt Ltd,"    30,00,000 - 40,00,000 P.A.  ",,59 days ago,crawled,https://www.naukri.com/job-listings-Lead-Data-Governance-Mumbai-Margdarshak-Consultants-Pvt-Ltd-Mumbai-10-to-14-years-240718600492?src=jobsearchDesk&sid=15382133049957&xp=11&px=44
180718600504,Data Scientist_10-12 years_Immediate to 30 Days NP_Gr.Noida,Greater Noida,10-13 yrs,"data science, data scientist, deep learning",Techs to Suit Inc,  Not disclosed ,,59 days ago,crawled,https://www.naukri.com/job-listings-Data-Scientist-10-12-years-Immediate-to-30-Days-NP-Gr-Noida-Techs-to-Suit-Inc-Greater-Noida-10-to-13-years-180718600504?src=jobsearchDesk&sid=15382133049957&xp=12&px=44
140718600366,Business Intelligence Data Engineer,Mumbai,1-6 yrs,"Data Manipulation, Data Science, C, Data Analytics, Java, Data Analysis...",RiverForest Connections Private Limited,  Not disclosed ,,59 days ago,crawled,https://www.naukri.com/job-listings-Business-Intelligence-Data-Engineer-RiverForest-Connections-Private-Limited-Mumbai-1-to-6-years-140718600366?src=jobsearchDesk&sid=15382133049957&xp=13&px=44
040818600145,CTO/ Head of Software Development in a E-learning Company,Mumbai,10-20 yrs,"Java, Objective C, Android SDK, IOS, Cassandra, Spring, Postgres, Spark...",Adept Global,  Not disclosed ,,57 days ago,crawled,https://www.naukri.com/job-listings-CTO-Head-of-Software-Development-in-a-E-learning-Company-Adept-Global-Mumbai-10-to-20-years-040818600145?src=jobsearchDesk&sid=15382133049957&xp=14&px=44
040718600510,Immediate job opening for Data scientist with an MNC,Bengaluru,2-4 yrs,"Python, Elastic Search, Cassandra, Technical Support, Customer Support...",Spigot Software Private Limited,  Not disclosed ,,59 days ago,crawled,https://www.naukri.com/job-listings-Immediate-opening-for-Data-scientist-with-an-MNC-Spigot-Software-Private-Limited-Bengaluru-2-to-4-years-040718600510?src=jobsearchDesk&sid=15382133049957&xp=15&px=44
030818600685,Data Scientist | Aeronube Technology | Mumbai,Mumbai,0-1 yrs,"DATA SCIENCE, SAS",AERONUBE TECHNOLOGY PRIVATE LIMITED,  Not disclosed ,,58 days ago,crawled,https://www.naukri.com/job-listings-Data-Scientist-Aeronube-Technology-Mumbai-AERONUBE-TECHNOLOGY-PRIVATE-LIMITED-Mumbai-0-to-1-years-030818600685?src=jobsearchDesk&sid=15382133049957&xp=16&px=44
310818007646,Associate (patent and Technology Research),Jaipur,0-4 yrs,"c, research analysis, java, infringement analysis, market research, python,...",Cipher Research Private Limited,"    8,00,000 - 11,00,000 P.A.  ","Experience in relevant Tech industry for 0-4 years e.g;Experience with software development, data ...",25 days ago,premium,https://www.naukri.com/job-listings-Associate-patent-and-Technology-Research-Cipher-Research-Private-Limited-Jaipur-0-to-4-years-310818007646?src=jobsearchDesk&sid=15382133049957&xp=17&px=44
300818008995,Immediate Opening for Technical Recruiter,Bengaluru,1-4 yrs,"Technical Recruitment, IT Recruitment, Hiring, Staffing, IT Consulting...",Technosoft Global Services Pvt Ltd,  Not disclosed ,,30 days ago,prefjob,https://www.naukri.com/job-listings-Immediate-Opening-for-Technical-Recruiter-Technosoft-Global-Services-Pvt-Ltd-Bengaluru-1-to-4-years-300818008995?src=jobsearchDesk&sid=15382133049957&xp=18&px=44
300818008149,Content Writer,Mumbai(SEEPZ),3-6 yrs,"Content Writing, Copy Writing",Nexsales Solutions Private Limited,"    4,00,000 - 6,00,000 P.A.  ",,18 days ago,classified,https://www.naukri.com/job-listings-Content-Writer-Nexsales-Solutions-Private-Limited-Mumbai-SEEPZ-3-to-6-years-300818008149?src=jobsearchDesk&sid=15382133049957&xp=19&px=44
300818007994,Immediate Openings for Medical Educator @ Varanasi,Varanasi,1-4 yrs,"medical educator, medico marketing, pharma marketing",Technosoft Global Services Pvt Ltd,  Not disclosed ,,17 days ago,prefjob,https://www.naukri.com/job-listings-Immediate-Openings-for-Medical-Educator-Varanasi-Technosoft-Global-Services-Pvt-Ltd-Varanasi-1-to-4-years-300818007994?src=jobsearchDesk&sid=15382133049957&xp=20&px=44
